"","data1.enrolled_at","data1.purchased_statement_at","data1.gender","data1.age_range","data1.highest_education_level","data1.employment_status","data1.employment_area"
"35",1,0,0,"prime of life","medium","no job","Non-traditional industries"
"36",1,0,0,"young people","ordinary","no job","traditional industries"
"37",1,0,0,"prime of life","medium","in work","traditional industries"
"38",1,0,0,"young people","medium","no job","Non-traditional industries"
"39",1,0,1,"prime of life","high","in work","Non-traditional industries"
"40",1,0,1,"young people","medium","no job","Non-traditional industries"
"41",1,0,0,"prime of life","medium","in work","traditional industries"
"42",1,0,1,"middle age","medium","in work","traditional industries"
"43",1,0,1,"young people","high","no job","Non-traditional industries"
"44",1,0,0,"young people","medium","in work","Non-traditional industries"
"45",1,0,1,"prime of life","ordinary","no job","traditional industries"
"46",1,0,1,"young people","ordinary","no job","traditional industries"
"47",1,0,0,"young people","medium","no job","Non-traditional industries"
"48",1,0,0,"prime of life","high","in work","Non-traditional industries"
"49",1,0,0,"prime of life","high","no job","traditional industries"
"50",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"51",1,1,1,"middle age","medium","in work","Non-traditional industries"
"52",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"53",1,0,1,"young people","ordinary","no job","traditional industries"
"54",1,0,1,"middle age","ordinary","in work","traditional industries"
"55",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"56",1,0,0,"middle age","high","in work","Non-traditional industries"
"57",1,1,1,"prime of life","high","in work","Non-traditional industries"
"58",1,0,1,"prime of life","medium","in work","traditional industries"
"59",1,0,0,"prime of life","medium","in work","traditional industries"
"60",1,0,1,"prime of life","medium","in work","traditional industries"
"61",1,1,1,"middle age","medium","in work","Non-traditional industries"
"62",1,0,1,"old age","high","retired","Non-traditional industries"
"63",1,0,1,"middle age","medium","in work","Non-traditional industries"
"64",1,0,0,"prime of life","medium","no job","Non-traditional industries"
"65",1,0,0,"prime of life","medium","no job","Non-traditional industries"
"66",1,0,1,"young people","medium","in work","Non-traditional industries"
"67",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"68",1,0,1,"middle age","medium","in work","traditional industries"
"69",1,0,1,"middle age","ordinary","retired","traditional industries"
"70",1,0,1,"middle age","ordinary","in work","traditional industries"
"71",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"72",1,1,1,"middle age","medium","in work","Non-traditional industries"
"73",1,0,1,"middle age","medium","no job","traditional industries"
"74",1,0,1,"prime of life","medium","in work","traditional industries"
"75",1,0,1,"middle age","medium","in work","traditional industries"
"76",1,0,0,"prime of life","medium","in work","traditional industries"
"77",1,0,0,"middle age","medium","retired","traditional industries"
"78",1,0,0,"middle age","medium","in work","traditional industries"
"79",1,0,1,"prime of life","ordinary","no job","traditional industries"
"80",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"81",1,0,0,"middle age","medium","no job","Non-traditional industries"
"82",1,0,0,"prime of life","ordinary","in work","traditional industries"
"83",1,0,1,"prime of life","medium","in work","traditional industries"
"84",1,0,1,"middle age","high","in work","traditional industries"
"85",1,0,0,"young people","medium","no job","Non-traditional industries"
"86",1,0,0,"old age","medium","in work","Non-traditional industries"
"87",1,0,1,"prime of life","medium","no job","traditional industries"
"88",1,0,1,"prime of life","ordinary","no job","Non-traditional industries"
"89",1,1,1,"prime of life","medium","in work","Non-traditional industries"
"90",1,0,1,"middle age","high","no job","traditional industries"
"91",1,0,0,"young people","medium","no job","traditional industries"
"92",1,0,1,"prime of life","medium","in work","traditional industries"
"93",1,0,1,"young people","ordinary","no job","Non-traditional industries"
"94",1,0,0,"middle age","ordinary","no job","Non-traditional industries"
"95",1,0,1,"middle age","high","in work","traditional industries"
"96",1,0,1,"middle age","medium","in work","Non-traditional industries"
"97",1,0,1,"prime of life","medium","in work","traditional industries"
"98",1,0,1,"prime of life","ordinary","in work","traditional industries"
"99",1,0,1,"middle age","high","in work","traditional industries"
"100",1,0,0,"young people","medium","no job","Non-traditional industries"
"101",1,0,1,"young people","ordinary","no job","traditional industries"
"102",1,0,1,"young people","ordinary","no job","Non-traditional industries"
"103",1,0,1,"prime of life","medium","in work","traditional industries"
"104",1,0,0,"young people","medium","no job","traditional industries"
"105",1,0,0,"young people","medium","no job","Non-traditional industries"
"106",1,0,0,"middle age","medium","in work","Non-traditional industries"
"107",1,0,0,"middle age","ordinary","in work","traditional industries"
"108",1,0,1,"prime of life","high","in work","Non-traditional industries"
"109",1,0,0,"young people","ordinary","in work","traditional industries"
"110",1,0,1,"young people","medium","no job","traditional industries"
"111",1,0,0,"middle age","high","in work","Non-traditional industries"
"112",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"113",1,0,0,"prime of life","medium","no job","traditional industries"
"114",1,0,1,"middle age","medium","in work","traditional industries"
"115",1,0,1,"prime of life","ordinary","no job","Non-traditional industries"
"116",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"117",1,0,1,"prime of life","medium","in work","traditional industries"
"118",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"119",1,0,1,"prime of life","medium","in work","traditional industries"
"120",1,0,1,"middle age","ordinary","in work","traditional industries"
"121",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"122",1,0,0,"prime of life","medium","no job","traditional industries"
"123",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"124",1,0,0,"prime of life","medium","no job","traditional industries"
"125",1,0,0,"middle age","ordinary","in work","traditional industries"
"126",1,0,0,"young people","medium","in work","traditional industries"
"127",1,0,1,"middle age","medium","in work","traditional industries"
"128",1,0,1,"prime of life","medium","in work","traditional industries"
"129",1,0,1,"prime of life","medium","in work","traditional industries"
"130",1,0,1,"prime of life","medium","in work","traditional industries"
"131",1,0,0,"middle age","medium","in work","traditional industries"
"132",1,0,1,"middle age","ordinary","in work","Non-traditional industries"
"133",1,0,1,"middle age","ordinary","in work","traditional industries"
"134",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"135",1,0,0,"prime of life","ordinary","in work","traditional industries"
"136",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"137",1,0,1,"middle age","medium","in work","Non-traditional industries"
"138",1,0,0,"middle age","high","in work","Non-traditional industries"
"139",1,0,1,"middle age","medium","in work","traditional industries"
"140",1,0,1,"middle age","medium","in work","Non-traditional industries"
"141",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"142",1,0,1,"prime of life","ordinary","in work","Non-traditional industries"
"143",1,0,1,"old age","high","retired","traditional industries"
"144",1,0,1,"middle age","medium","in work","Non-traditional industries"
"145",1,0,1,"prime of life","medium","in work","traditional industries"
"146",1,0,1,"young people","ordinary","in work","Non-traditional industries"
"147",1,0,1,"prime of life","medium","in work","traditional industries"
"148",1,0,1,"young people","ordinary","no job","Non-traditional industries"
"149",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"150",1,0,1,"young people","high","in work","traditional industries"
"151",1,0,1,"prime of life","ordinary","no job","traditional industries"
"152",1,0,1,"middle age","medium","in work","Non-traditional industries"
"153",1,0,1,"prime of life","medium","in work","traditional industries"
"154",1,0,1,"prime of life","high","no job","traditional industries"
"155",1,1,0,"prime of life","medium","no job","traditional industries"
"156",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"157",1,0,1,"middle age","medium","in work","traditional industries"
"158",1,0,1,"prime of life","medium","no job","traditional industries"
"159",1,0,1,"middle age","medium","in work","Non-traditional industries"
"160",1,0,1,"middle age","medium","in work","traditional industries"
"161",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"162",1,0,0,"prime of life","medium","in work","traditional industries"
"163",1,0,1,"young people","medium","in work","Non-traditional industries"
"164",1,0,1,"prime of life","medium","in work","traditional industries"
"165",1,0,1,"prime of life","medium","in work","traditional industries"
"166",1,0,0,"middle age","high","in work","Non-traditional industries"
"167",1,0,1,"middle age","medium","in work","traditional industries"
"168",1,0,1,"young people","medium","in work","traditional industries"
"169",1,0,0,"prime of life","medium","in work","traditional industries"
"170",1,0,1,"prime of life","medium","in work","traditional industries"
"171",1,0,1,"prime of life","high","in work","Non-traditional industries"
"172",1,0,0,"prime of life","ordinary","in work","Non-traditional industries"
"173",1,0,0,"young people","high","no job","traditional industries"
"174",1,0,1,"prime of life","high","in work","traditional industries"
"175",1,0,0,"young people","ordinary","no job","traditional industries"
"176",1,0,0,"young people","ordinary","no job","traditional industries"
"177",1,1,1,"old age","medium","retired","traditional industries"
"178",1,0,0,"middle age","medium","in work","Non-traditional industries"
"179",1,0,0,"young people","ordinary","no job","traditional industries"
"180",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"181",1,0,0,"middle age","medium","retired","traditional industries"
"182",1,0,1,"young people","high","in work","Non-traditional industries"
"183",1,0,1,"prime of life","medium","in work","traditional industries"
"184",1,0,1,"middle age","high","in work","Non-traditional industries"
"185",1,0,0,"prime of life","medium","no job","traditional industries"
"186",1,0,0,"prime of life","medium","in work","traditional industries"
"187",1,0,1,"young people","ordinary","in work","traditional industries"
"188",1,0,0,"prime of life","medium","no job","Non-traditional industries"
"189",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"190",1,0,0,"middle age","medium","no job","traditional industries"
"191",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"192",1,0,1,"middle age","medium","in work","Non-traditional industries"
"193",1,0,1,"prime of life","high","in work","traditional industries"
"194",1,0,1,"middle age","high","in work","traditional industries"
"195",1,0,1,"middle age","high","in work","Non-traditional industries"
"196",1,0,1,"prime of life","medium","no job","traditional industries"
"197",1,0,1,"prime of life","medium","in work","traditional industries"
"198",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"199",1,0,1,"middle age","medium","in work","traditional industries"
"200",1,0,0,"prime of life","medium","in work","traditional industries"
"201",1,0,1,"young people","ordinary","no job","Non-traditional industries"
"202",1,0,1,"prime of life","high","no job","traditional industries"
"203",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"204",1,0,0,"middle age","medium","in work","traditional industries"
"205",1,0,1,"prime of life","medium","in work","traditional industries"
"206",1,0,0,"prime of life","medium","in work","traditional industries"
"207",1,0,1,"middle age","medium","in work","Non-traditional industries"
"208",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"209",1,0,1,"prime of life","high","in work","Non-traditional industries"
"210",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"211",1,0,1,"old age","medium","retired","traditional industries"
"212",1,0,1,"prime of life","high","in work","traditional industries"
"213",1,0,1,"middle age","high","no job","Non-traditional industries"
"214",1,0,1,"old age","high","retired","traditional industries"
"215",1,0,0,"prime of life","medium","no job","traditional industries"
"216",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"217",1,0,1,"prime of life","medium","in work","traditional industries"
"218",1,0,1,"middle age","high","in work","Non-traditional industries"
"219",1,0,1,"prime of life","medium","in work","traditional industries"
"220",1,0,0,"young people","medium","no job","traditional industries"
"221",1,0,0,"young people","medium","no job","traditional industries"
"222",1,1,1,"prime of life","medium","in work","traditional industries"
"223",1,0,1,"prime of life","medium","no job","traditional industries"
"224",1,0,1,"middle age","high","in work","traditional industries"
"225",1,0,0,"prime of life","ordinary","in work","traditional industries"
"226",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"227",1,0,0,"prime of life","medium","in work","traditional industries"
"228",1,0,0,"young people","medium","no job","traditional industries"
"229",1,0,1,"young people","ordinary","in work","traditional industries"
"230",1,0,0,"prime of life","medium","no job","traditional industries"
"231",1,0,0,"middle age","medium","in work","traditional industries"
"232",1,1,1,"middle age","medium","in work","traditional industries"
"233",1,0,1,"prime of life","medium","in work","traditional industries"
"234",1,0,1,"middle age","medium","in work","Non-traditional industries"
"235",1,0,1,"young people","medium","no job","Non-traditional industries"
"236",1,0,1,"prime of life","ordinary","in work","Non-traditional industries"
"237",1,0,1,"prime of life","high","no job","Non-traditional industries"
"238",1,0,1,"young people","high","in work","Non-traditional industries"
"239",1,0,0,"middle age","high","in work","traditional industries"
"240",1,0,0,"young people","ordinary","in work","traditional industries"
"241",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"242",1,0,1,"young people","ordinary","in work","traditional industries"
"243",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"244",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"245",1,0,0,"prime of life","medium","in work","traditional industries"
"246",1,0,0,"middle age","medium","in work","Non-traditional industries"
"247",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"248",1,0,0,"young people","medium","no job","Non-traditional industries"
"249",1,0,1,"prime of life","high","in work","Non-traditional industries"
"250",1,0,0,"middle age","medium","in work","traditional industries"
"251",1,0,1,"old age","high","retired","traditional industries"
"252",1,0,0,"old age","medium","in work","traditional industries"
"253",1,0,1,"prime of life","high","no job","traditional industries"
"254",1,0,1,"middle age","high","in work","traditional industries"
"255",1,0,1,"prime of life","high","no job","traditional industries"
"256",1,0,0,"prime of life","medium","in work","traditional industries"
"257",1,0,0,"prime of life","medium","no job","Non-traditional industries"
"258",1,0,0,"middle age","medium","retired","traditional industries"
"259",1,0,0,"prime of life","medium","no job","traditional industries"
"260",1,0,0,"old age","medium","retired","traditional industries"
"261",1,0,1,"prime of life","medium","in work","traditional industries"
"262",1,0,0,"prime of life","ordinary","in work","Non-traditional industries"
"263",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"264",1,0,1,"middle age","high","in work","Non-traditional industries"
"265",1,0,0,"prime of life","medium","in work","traditional industries"
"266",1,0,1,"prime of life","medium","in work","traditional industries"
"267",1,0,0,"prime of life","medium","in work","traditional industries"
"268",1,0,0,"prime of life","high","in work","Non-traditional industries"
"269",1,0,0,"young people","medium","no job","Non-traditional industries"
"270",1,0,0,"middle age","medium","in work","traditional industries"
"271",1,0,1,"middle age","medium","in work","Non-traditional industries"
"272",1,0,0,"young people","high","in work","Non-traditional industries"
"273",1,0,0,"middle age","high","in work","traditional industries"
"274",1,0,0,"middle age","medium","in work","traditional industries"
"275",1,0,1,"prime of life","high","no job","traditional industries"
"276",1,0,1,"prime of life","high","in work","traditional industries"
"277",1,0,0,"young people","medium","no job","Non-traditional industries"
"278",1,0,1,"prime of life","medium","in work","traditional industries"
"279",1,0,0,"prime of life","medium","no job","traditional industries"
"280",1,1,0,"middle age","high","in work","traditional industries"
"281",1,0,0,"middle age","medium","in work","Non-traditional industries"
"282",1,0,0,"prime of life","medium","in work","traditional industries"
"283",1,0,1,"young people","high","no job","traditional industries"
"284",1,0,1,"middle age","high","no job","Non-traditional industries"
"285",1,0,0,"prime of life","medium","no job","traditional industries"
"286",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"287",1,0,1,"middle age","medium","no job","traditional industries"
"288",1,0,0,"young people","high","no job","traditional industries"
"289",1,0,1,"young people","medium","no job","traditional industries"
"290",1,0,0,"middle age","high","no job","traditional industries"
"291",1,0,0,"prime of life","medium","no job","traditional industries"
"292",1,0,0,"prime of life","medium","no job","Non-traditional industries"
"293",1,0,1,"prime of life","medium","in work","traditional industries"
"294",1,0,1,"prime of life","high","in work","traditional industries"
"295",1,0,0,"middle age","medium","in work","traditional industries"
"296",1,0,1,"prime of life","medium","in work","traditional industries"
"297",1,0,1,"prime of life","medium","in work","traditional industries"
"298",1,0,1,"young people","medium","in work","Non-traditional industries"
"299",1,0,1,"middle age","high","in work","traditional industries"
"300",1,0,1,"young people","medium","no job","traditional industries"
"301",1,0,1,"prime of life","medium","in work","traditional industries"
"302",1,0,0,"middle age","medium","retired","traditional industries"
"303",1,0,0,"prime of life","medium","in work","traditional industries"
"304",1,0,1,"young people","medium","no job","traditional industries"
"305",1,0,1,"middle age","high","in work","traditional industries"
"306",1,0,1,"prime of life","high","in work","Non-traditional industries"
"307",1,0,1,"prime of life","high","in work","Non-traditional industries"
"308",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"309",1,0,1,"young people","medium","no job","traditional industries"
"310",1,0,1,"middle age","medium","no job","Non-traditional industries"
"311",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"312",1,0,0,"middle age","medium","in work","traditional industries"
"313",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"314",1,0,1,"young people","ordinary","in work","Non-traditional industries"
"315",1,0,1,"prime of life","medium","no job","traditional industries"
"316",1,0,1,"prime of life","medium","in work","traditional industries"
"317",1,0,1,"old age","medium","retired","traditional industries"
"318",1,0,0,"middle age","medium","no job","traditional industries"
"319",1,0,0,"middle age","medium","in work","traditional industries"
"320",1,0,0,"middle age","medium","in work","traditional industries"
"321",1,0,1,"prime of life","medium","in work","traditional industries"
"322",1,0,1,"prime of life","high","in work","traditional industries"
"323",1,0,0,"prime of life","ordinary","no job","traditional industries"
"324",1,0,1,"prime of life","ordinary","in work","Non-traditional industries"
"325",1,0,1,"prime of life","ordinary","no job","Non-traditional industries"
"326",1,0,1,"prime of life","medium","no job","traditional industries"
"327",1,0,1,"young people","ordinary","in work","traditional industries"
"328",1,0,1,"prime of life","medium","in work","traditional industries"
"329",1,0,1,"young people","medium","no job","traditional industries"
"330",1,0,1,"prime of life","ordinary","in work","traditional industries"
"331",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"332",1,0,1,"old age","high","retired","traditional industries"
"333",1,0,1,"middle age","high","in work","Non-traditional industries"
"334",1,0,0,"middle age","medium","in work","Non-traditional industries"
"335",1,0,0,"young people","medium","no job","Non-traditional industries"
"336",1,0,1,"middle age","ordinary","no job","traditional industries"
"337",1,0,0,"old age","medium","retired","traditional industries"
"338",1,0,1,"young people","medium","no job","traditional industries"
"339",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"340",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"341",1,0,1,"middle age","ordinary","in work","traditional industries"
"342",1,0,1,"prime of life","medium","in work","traditional industries"
"343",1,0,1,"young people","ordinary","no job","Non-traditional industries"
"344",1,0,1,"prime of life","medium","no job","traditional industries"
"345",1,0,1,"young people","medium","in work","Non-traditional industries"
"346",1,0,1,"young people","ordinary","no job","traditional industries"
"347",1,0,1,"middle age","medium","in work","traditional industries"
"348",1,0,1,"young people","medium","no job","traditional industries"
"349",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"350",1,0,0,"prime of life","medium","no job","Non-traditional industries"
"351",1,0,1,"prime of life","medium","no job","traditional industries"
"352",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"353",1,0,0,"prime of life","medium","in work","traditional industries"
"354",1,0,1,"young people","high","no job","traditional industries"
"355",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"356",1,0,1,"middle age","high","in work","Non-traditional industries"
"357",1,0,1,"prime of life","medium","in work","traditional industries"
"358",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"359",1,0,1,"young people","high","in work","traditional industries"
"360",1,0,0,"middle age","medium","in work","traditional industries"
"361",1,0,0,"prime of life","medium","no job","traditional industries"
"362",1,0,1,"young people","ordinary","in work","traditional industries"
"363",1,0,1,"young people","ordinary","no job","traditional industries"
"364",1,0,1,"prime of life","high","in work","Non-traditional industries"
"365",1,0,1,"prime of life","high","no job","Non-traditional industries"
"366",1,0,1,"young people","medium","no job","traditional industries"
"367",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"368",1,0,0,"old age","ordinary","in work","traditional industries"
"369",1,0,0,"old age","medium","retired","traditional industries"
"370",1,0,0,"prime of life","medium","in work","traditional industries"
"371",1,0,1,"prime of life","medium","no job","traditional industries"
"372",1,0,1,"middle age","medium","retired","Non-traditional industries"
"373",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"374",1,0,0,"prime of life","medium","in work","traditional industries"
"375",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"376",1,0,1,"old age","ordinary","retired","traditional industries"
"377",1,0,1,"prime of life","high","in work","Non-traditional industries"
"378",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"379",1,0,0,"old age","medium","in work","traditional industries"
"380",1,0,1,"prime of life","medium","in work","traditional industries"
"381",1,0,0,"middle age","medium","in work","traditional industries"
"382",1,0,0,"old age","medium","in work","Non-traditional industries"
"383",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"384",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"385",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"386",1,0,1,"prime of life","medium","in work","traditional industries"
"387",1,0,0,"middle age","medium","in work","traditional industries"
"388",1,0,0,"prime of life","medium","in work","traditional industries"
"389",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"390",1,0,1,"prime of life","high","in work","traditional industries"
"391",1,0,1,"young people","high","in work","Non-traditional industries"
"392",1,0,0,"middle age","high","retired","traditional industries"
"393",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"394",1,0,1,"young people","ordinary","no job","Non-traditional industries"
"395",1,0,0,"young people","ordinary","no job","traditional industries"
"396",1,0,0,"prime of life","medium","in work","traditional industries"
"397",1,0,1,"prime of life","medium","no job","traditional industries"
"398",1,0,1,"prime of life","high","in work","traditional industries"
"399",1,0,1,"prime of life","medium","no job","traditional industries"
"400",1,0,0,"prime of life","medium","in work","traditional industries"
"401",1,0,1,"middle age","high","in work","traditional industries"
"402",1,0,1,"middle age","high","in work","Non-traditional industries"
"403",1,0,1,"middle age","high","in work","Non-traditional industries"
"404",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"405",1,0,1,"prime of life","medium","no job","traditional industries"
"406",1,0,0,"prime of life","medium","in work","traditional industries"
"407",1,0,1,"prime of life","ordinary","in work","traditional industries"
"408",1,0,0,"prime of life","high","in work","Non-traditional industries"
"409",1,0,1,"prime of life","high","in work","traditional industries"
"410",1,0,0,"middle age","medium","in work","traditional industries"
"411",1,0,0,"middle age","medium","in work","traditional industries"
"412",1,0,1,"middle age","ordinary","retired","traditional industries"
"413",1,0,0,"prime of life","medium","in work","traditional industries"
"414",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"415",1,0,0,"middle age","high","in work","Non-traditional industries"
"416",1,0,0,"middle age","medium","no job","traditional industries"
"417",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"418",1,0,0,"middle age","high","in work","traditional industries"
"419",1,0,0,"prime of life","medium","in work","traditional industries"
"420",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"421",1,0,1,"prime of life","ordinary","in work","Non-traditional industries"
"422",1,0,0,"young people","medium","no job","Non-traditional industries"
"423",1,0,1,"young people","ordinary","no job","Non-traditional industries"
"424",1,0,0,"prime of life","medium","in work","traditional industries"
"425",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"426",1,0,0,"middle age","medium","in work","traditional industries"
"427",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"428",1,0,0,"prime of life","medium","in work","traditional industries"
"429",1,0,0,"prime of life","medium","no job","traditional industries"
"430",1,0,0,"prime of life","medium","no job","traditional industries"
"431",1,0,0,"middle age","medium","in work","Non-traditional industries"
"432",1,0,1,"middle age","ordinary","in work","traditional industries"
"433",1,0,0,"prime of life","medium","in work","traditional industries"
"434",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"435",1,0,0,"middle age","medium","no job","traditional industries"
"436",1,0,0,"middle age","medium","retired","traditional industries"
"437",1,0,1,"prime of life","medium","in work","traditional industries"
"438",1,0,1,"young people","ordinary","no job","traditional industries"
"439",1,0,0,"prime of life","medium","no job","traditional industries"
"440",1,0,0,"middle age","ordinary","in work","traditional industries"
"441",1,0,0,"prime of life","medium","in work","traditional industries"
"442",1,0,1,"prime of life","medium","in work","traditional industries"
"443",1,0,1,"middle age","medium","in work","traditional industries"
"444",1,0,0,"middle age","high","in work","Non-traditional industries"
"445",1,0,0,"middle age","medium","in work","traditional industries"
"446",1,0,0,"middle age","high","no job","traditional industries"
"447",1,0,1,"prime of life","high","no job","traditional industries"
"448",1,0,0,"middle age","ordinary","in work","traditional industries"
"449",1,0,0,"young people","medium","no job","Non-traditional industries"
"450",1,0,0,"prime of life","medium","in work","traditional industries"
"451",1,0,0,"prime of life","medium","in work","traditional industries"
"452",1,0,0,"prime of life","medium","no job","traditional industries"
"453",1,0,1,"prime of life","high","in work","traditional industries"
"454",1,0,1,"prime of life","medium","in work","traditional industries"
"455",1,0,1,"prime of life","ordinary","no job","Non-traditional industries"
"456",1,0,1,"young people","ordinary","no job","Non-traditional industries"
"457",1,0,0,"prime of life","medium","in work","traditional industries"
"458",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"459",1,0,0,"prime of life","medium","no job","traditional industries"
"460",1,0,1,"young people","medium","no job","Non-traditional industries"
"461",1,0,1,"young people","ordinary","no job","Non-traditional industries"
"462",1,0,1,"young people","ordinary","in work","Non-traditional industries"
"463",1,0,1,"old age","medium","in work","traditional industries"
"464",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"465",1,0,1,"young people","ordinary","no job","traditional industries"
"466",1,0,0,"prime of life","high","in work","traditional industries"
"467",1,0,1,"prime of life","ordinary","in work","traditional industries"
"468",1,0,1,"prime of life","medium","in work","traditional industries"
"469",1,0,1,"young people","medium","no job","traditional industries"
"470",1,0,1,"prime of life","high","in work","traditional industries"
"471",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"472",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"473",1,0,1,"middle age","ordinary","retired","Non-traditional industries"
"474",1,0,0,"prime of life","medium","in work","Non-traditional industries"
"475",1,0,1,"prime of life","medium","no job","Non-traditional industries"
"476",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"477",1,0,0,"prime of life","medium","in work","traditional industries"
"478",1,0,0,"old age","high","in work","Non-traditional industries"
"479",1,0,1,"prime of life","medium","in work","traditional industries"
"480",1,0,0,"young people","medium","no job","traditional industries"
"481",1,0,0,"prime of life","medium","in work","traditional industries"
"482",1,0,0,"young people","ordinary","no job","traditional industries"
"483",1,0,0,"prime of life","ordinary","no job","traditional industries"
"484",1,0,0,"middle age","high","in work","traditional industries"
